customer_id,booking_id,customer_name,country,booking_date,check_in,check_out,nights,season,room_type,room_number,view,balcony_type,room_amenities,nightly_rate_eur,adults,children,booking_channel,payment_method,booking_status,total_revenue_eur
CUST-00040,BOOK-00040,Oskari Brown,Finland,2025-07-18,2025-11-29,2025-12-05,6,Winter,Standard Room,SR-26,Forest view,French balcony,French balcony or balcony,100,2,1,Travel agency,Debit card,No-show,0
CUST-00041,BOOK-00041,Oliver Salminen,Netherlands,2026-02-04,2026-05-20,2026-05-24,4,Shoulder,Superior Room,SU-08,Slope view,French balcony,French balcony or balcony,140,2,0,Travel agency,Online payment,Completed,560
CUST-00042,BOOK-00042,Oskari Salminen,Italy,2025-11-04,2026-01-04,2026-01-14,10,Winter,Standard View Room,SV-21,Forest view,French balcony,French balcony or balcony,120,3,0,Phone,Debit card,Cancelled,0
CUST-00043,BOOK-00043,Elsa Wilson,Spain,2025-08-11,2025-09-07,2025-09-10,3,Shoulder,Standard View Room,SV-40,Forest view,French balcony,French balcony or balcony,120,2,0,Expedia,Credit card,No-show,0
CUST-00044,BOOK-00044,Sara Rossi,Germany,2025-09-17,2026-03-01,2026-03-03,2,Winter,Standard Room,SR-34,Slope view,Balcony,French balcony or balcony,100,2,0,Expedia,Invoice,No-show,0
CUST-00045,BOOK-00045,Hugo Mäkinen,Norway,2025-10-20,2026-02-01,2026-02-05,4,Winter,Standard Room,SR-30,Slope view,Balcony,French balcony or balcony,100,1,1,Direct website,Debit card,Completed,400
CUST-00046,BOOK-00046,Eetu Brown,Poland,2025-03-12,2025-08-16,2025-08-22,6,Summer,Sky Suite,SS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,298,3,0,Travel agency,Online payment,Completed,1788
CUST-00047,BOOK-00047,Sofia Petrov,France,2025-10-18,2026-03-29,2026-04-08,10,Winter,Standard Room,SR-46,Slope view,French balcony,French balcony or balcony,100,2,0,Booking.com,Debit card,Completed,1000
CUST-00048,BOOK-00048,Hugo Salminen,Sweden,2026-01-08,2026-03-10,2026-03-12,2,Winter,Standard Room,SR-36,Slope view,Balcony,French balcony or balcony,100,3,1,Travel agency,Credit card,No-show,0
CUST-00049,BOOK-00049,Ava Andersen,Denmark,2025-12-28,2026-05-18,2026-05-21,3,Shoulder,Standard Room,SR-38,Slope view,French balcony,French balcony or balcony,100,3,2,Booking.com,Credit card,No-show,0
CUST-00050,BOOK-00050,Sara Johansson,Denmark,2025-03-02,2025-07-01,2025-07-03,2,Summer,Standard Room,SR-08,Forest view,Balcony,French balcony or balcony,95,3,2,Corporate,Invoice,No-show,0
CUST-00051,BOOK-00051,Linnea Korhonen,Norway,2025-11-12,2026-01-11,2026-01-13,2,Winter,Standard Room,SR-31,Forest view,French balcony,French balcony or balcony,100,4,1,Expedia,Credit card,Completed,200
CUST-00052,BOOK-00052,Liam Miller,Poland,2025-03-18,2025-08-29,2025-09-02,4,Summer,Superior Room,SU-17,Slope view,Balcony,French balcony or balcony,140,4,0,Travel agency,Online payment,Completed,560
CUST-00053,BOOK-00053,Julia Salminen,Austria,2025-06-23,2025-11-12,2025-11-17,5,Winter,Deluxe Room,DR-05,Forest view,French balcony,Bathtub and sauna; French balcony or balcony,200,2,0,Expedia,Credit card,Cancelled,0
CUST-00054,BOOK-00054,Alma Andersen,Sweden,2025-11-04,2025-12-24,2025-12-30,6,Winter,Superior Family Room,SF-09,Slope view,Balcony,French balcony or balcony,170,2,0,Travel agency,Credit card,No-show,0
CUST-00055,BOOK-00055,Julia Mäkinen,Finland,2025-04-03,2025-09-13,2025-09-16,3,Shoulder,Standard Room,SR-46,Slope view,French balcony,French balcony or balcony,100,3,0,Direct website,Invoice,Cancelled,0
CUST-00056,BOOK-00056,Eetu Martin,Germany,2025-03-11,2025-07-18,2025-07-21,3,Summer,Deluxe Room,DR-04,Forest view,Balcony,Bathtub and sauna; French balcony or balcony,200,2,0,Travel agency,Invoice,Cancelled,0
CUST-00057,BOOK-00057,Adam Bianchi,Germany,2025-09-14,2025-10-03,2025-10-07,4,Shoulder,Standard Room,SR-10,Forest view,Balcony,French balcony or balcony,100,3,2,Expedia,Online payment,No-show,0
CUST-00058,BOOK-00058,Julia Schmidt,Germany,2025-02-06,2025-06-02,2025-06-05,3,Summer,Standard Room,SR-24,Slope view,Balcony,French balcony or balcony,95,2,0,Corporate,Invoice,No-show,0
CUST-00059,BOOK-00059,Felix Hansen,Netherlands,2025-10-05,2026-01-20,2026-01-27,7,Winter,Deluxe Room,DR-01,Slope view,French balcony,Bathtub and sauna; French balcony or balcony,200,2,0,Travel agency,Invoice,Completed,1400
CUST-00060,BOOK-00060,Ella Laine,Estonia,2026-04-09,2026-05-06,2026-05-12,6,Shoulder,Superior Room,SU-09,Forest view,Balcony,French balcony or balcony,140,2,2,Direct website,Debit card,Cancelled,0
CUST-00061,BOOK-00061,Linnea Koskinen,Austria,2025-07-12,2025-12-27,2026-01-03,7,Winter,Deluxe Sky Suite,DS-01,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,700,3,2,Corporate,Invoice,Cancelled,0
CUST-00062,BOOK-00062,Ella Wilson,Norway,2025-09-09,2025-11-10,2025-11-15,5,Winter,Deluxe Room,DR-02,Slope view,Balcony,Bathtub and sauna; French balcony or balcony,200,4,1,Travel agency,Credit card,No-show,0
CUST-00063,BOOK-00063,Elias Virtanen,Estonia,2026-04-05,2026-04-21,2026-04-26,5,Winter,Standard Room,SR-23,Forest view,Balcony,French balcony or balcony,100,2,0,Booking.com,Invoice,Completed,500
CUST-00064,BOOK-00064,Olivia Wilson,Netherlands,2025-11-08,2026-03-17,2026-03-22,5,Winter,Standard Room,SR-07,Slope view,French balcony,French balcony or balcony,100,2,1,Travel agency,Online payment,Completed,500
CUST-00065,BOOK-00065,Oscar Heikkinen,Norway,2026-01-13,2026-05-08,2026-05-09,1,Shoulder,Superior Family Room,SF-06,Slope view,Balcony,French balcony or balcony,170,4,0,Travel agency,Online payment,Completed,170
CUST-00066,BOOK-00066,Sofia Lehtonen,Austria,2025-08-25,2026-01-20,2026-01-26,6,Winter,Standard Room,SR-17,Forest view,Balcony,French balcony or balcony,100,2,3,Expedia,Credit card,Cancelled,0
CUST-00067,BOOK-00067,Julia Müller,Spain,2026-03-05,2026-05-04,2026-05-07,3,Shoulder,Standard Room,SR-04,Forest view,Balcony,French balcony or balcony,100,2,0,Expedia,Debit card,Completed,300
CUST-00068,BOOK-00068,Theo Virtanen,Belgium,2026-03-14,2026-04-18,2026-04-20,2,Winter,Superior Room,SU-13,Forest view,French balcony,French balcony or balcony,140,4,0,Travel agency,Debit card,Completed,280
CUST-00069,BOOK-00069,Adam Kowalski,Italy,2025-07-29,2025-09-11,2025-09-13,2,Shoulder,Standard View Room,SV-22,Slope view,Balcony,French balcony or balcony,120,4,2,Expedia,Online payment,No-show,0
CUST-00070,BOOK-00070,Amelia Petrov,Belgium,2025-07-04,2025-07-29,2025-08-02,4,Summer,Standard Room,SR-36,Slope view,Balcony,French balcony or balcony,95,1,0,Travel agency,Online payment,Completed,380
CUST-00071,BOOK-00071,Sofia Dubois,Netherlands,2026-01-09,2026-05-11,2026-05-16,5,Shoulder,Standard Room,SR-33,Forest view,French balcony,French balcony or balcony,100,2,2,Expedia,Debit card,Completed,500
CUST-00072,BOOK-00072,Alexander Mäkinen,Germany,2026-04-15,2026-04-28,2026-04-30,2,Winter,Superior Family Room,SF-06,Slope view,French balcony,French balcony or balcony,170,2,0,Direct website,Debit card,Completed,340
CUST-00073,BOOK-00073,Alexander Miller,Germany,2025-11-15,2026-03-03,2026-03-05,2,Winter,Standard View Room,SV-10,Slope view,French balcony,French balcony or balcony,120,3,1,Expedia,Credit card,No-show,0
CUST-00074,BOOK-00074,Samuel Mäkinen,Belgium,2025-12-30,2026-05-20,2026-05-23,3,Shoulder,Standard View Room,SV-27,Forest view,Balcony,French balcony or balcony,120,1,0,Direct website,Invoice,Completed,360
CUST-00075,BOOK-00075,Leo Santos,Estonia,2025-05-14,2025-07-17,2025-07-22,5,Summer,Superior Room,SU-13,Forest view,French balcony,French balcony or balcony,140,3,0,Corporate,Debit card,Completed,700
CUST-00076,BOOK-00076,Aino Saarinen,Germany,2026-02-21,2026-03-28,2026-03-31,3,Winter,Deluxe Room,DR-03,Forest view,Balcony,Bathtub and sauna; French balcony or balcony,200,3,0,Direct website,Debit card,Completed,600
CUST-00077,BOOK-00077,Elias Heikkinen,Italy,2025-05-24,2025-06-08,2025-06-11,3,Summer,Superior Family Room,SF-09,Slope view,French balcony,French balcony or balcony,170,3,0,Phone,Credit card,Completed,510
CUST-00078,BOOK-00078,Theo Smith,Netherlands,2025-08-24,2026-01-30,2026-02-03,4,Winter,Standard View Room,SV-40,Forest view,French balcony,French balcony or balcony,120,3,2,Phone,Online payment,Completed,480
CUST-00079,BOOK-00079,Isla Dubois,Denmark,2025-09-16,2026-01-21,2026-01-26,5,Winter,Standard Room,SR-23,Forest view,Balcony,French balcony or balcony,100,1,0,Corporate,Debit card,Cancelled,0
CUST-00080,BOOK-00080,Anna Hansen,Spain,2025-03-08,2025-07-04,2025-07-06,2,Summer,Superior Room,SU-02,Slope view,Balcony,French balcony or balcony,140,2,1,Phone,Debit card,No-show,0
CUST-00081,BOOK-00081,Amelia Andersen,Denmark,2025-10-17,2026-01-07,2026-01-11,4,Winter,Standard Room,SR-42,Forest view,Balcony,French balcony or balcony,100,2,0,Booking.com,Invoice,Cancelled,0
CUST-00082,BOOK-00082,Samuel Santos,Germany,2025-02-11,2025-07-05,2025-07-07,2,Summer,Standard Room,SR-25,Forest view,French balcony,French balcony or balcony,95,2,0,Expedia,Credit card,Completed,190
CUST-00083,BOOK-00083,Leo Petrov,Spain,2025-07-26,2025-12-28,2025-12-31,3,Winter,Superior Room,SU-14,Slope view,Balcony,French balcony or balcony,140,2,0,Booking.com,Debit card,Cancelled,0
CUST-00084,BOOK-00084,Samuel Mäkinen,Italy,2025-12-06,2026-05-03,2026-05-07,4,Shoulder,Deluxe Room,DR-01,Slope view,French balcony,Bathtub and sauna; French balcony or balcony,200,3,1,Corporate,Credit card,No-show,0
CUST-00085,BOOK-00085,Liam Saarinen,Spain,2026-01-10,2026-04-08,2026-04-15,7,Winter,Superior Family Room,SF-05,Forest view,Balcony,French balcony or balcony,170,1,2,Corporate,Invoice,Completed,1190
CUST-00086,BOOK-00086,Elsa Järvinen,Austria,2025-03-19,2025-07-06,2025-07-08,2,Summer,Superior Room,SU-16,Forest view,Balcony,French balcony or balcony,140,2,0,Phone,Online payment,Completed,280
CUST-00087,BOOK-00087,Leo Dubois,Norway,2026-01-06,2026-03-18,2026-03-22,4,Winter,Deluxe Room,DR-03,Forest view,Balcony,Bathtub and sauna; French balcony or balcony,200,3,0,Travel agency,Invoice,Completed,800
CUST-00088,BOOK-00088,Eetu Salminen,Canada,2025-06-04,2025-10-18,2025-10-21,3,Shoulder,Standard View Room,SV-34,Forest view,Balcony,French balcony or balcony,120,1,0,Corporate,Credit card,Cancelled,0
CUST-00089,BOOK-00089,Linnea Salminen,Estonia,2025-05-03,2025-06-04,2025-06-07,3,Summer,Sky Suite,SS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,298,2,0,Booking.com,Invoice,Completed,894
CUST-00090,BOOK-00090,Emilia Hansen,Sweden,2025-11-07,2026-02-28,2026-03-05,5,Winter,Standard View Room,SV-27,Forest view,French balcony,French balcony or balcony,120,2,0,Expedia,Invoice,Completed,600
CUST-00091,BOOK-00091,Amelia Korhonen,Estonia,2026-02-04,2026-03-21,2026-03-24,3,Winter,Superior Room,SU-04,Forest view,Balcony,French balcony or balcony,140,3,2,Direct website,Invoice,Completed,420
CUST-00092,BOOK-00092,Amelia Schmidt,Spain,2025-04-28,2025-07-25,2025-07-28,3,Summer,Standard View Room,SV-07,Slope view,French balcony,French balcony or balcony,120,2,0,Corporate,Credit card,Completed,360
CUST-00093,BOOK-00093,Noah Lehtonen,Denmark,2026-01-19,2026-02-27,2026-03-03,4,Winter,Deluxe Room,DR-02,Slope view,Balcony,Bathtub and sauna; French balcony or balcony,200,2,1,Phone,Credit card,Completed,800
CUST-00094,BOOK-00094,Laura Johansson,Estonia,2025-03-21,2025-08-30,2025-09-09,10,Summer,Superior Room,SU-02,Slope view,Balcony,French balcony or balcony,140,2,0,Travel agency,Online payment,No-show,0
CUST-00095,BOOK-00095,Alma Johansson,Sweden,2025-10-03,2025-10-19,2025-10-23,4,Shoulder,Standard View Room,SV-37,Forest view,Balcony,French balcony or balcony,120,3,0,Direct website,Invoice,Completed,480
CUST-00096,BOOK-00096,Theo Kowalski,France,2025-10-31,2026-01-23,2026-01-27,4,Winter,Sky Suite,SS-01,Slope view,Balcony,Igloo; bathtub; sauna; French balcony or balcony,298,2,2,Travel agency,Credit card,Completed,1192
CUST-00097,BOOK-00097,Ella Lehtonen,United States,2025-08-01,2025-11-23,2025-12-03,10,Winter,Standard Room,SR-23,Forest view,French balcony,French balcony or balcony,100,2,2,Travel agency,Invoice,Completed,1000
CUST-00098,BOOK-00098,Emilia Koskinen,Denmark,2025-06-30,2025-11-21,2025-11-26,5,Winter,Standard Room,SR-22,Slope view,Balcony,French balcony or balcony,100,2,1,Phone,Debit card,Completed,500
CUST-00099,BOOK-00099,Daniel Petrov,Austria,2025-10-14,2025-11-18,2025-11-20,2,Winter,Superior Room,SU-09,Forest view,French balcony,French balcony or balcony,140,2,0,Expedia,Debit card,Completed,280
CUST-00100,BOOK-00100,Oliver Martin,Poland,2025-12-29,2026-05-10,2026-05-15,5,Shoulder,Sky Suite,SS-02,Forest view,Balcony,Igloo; bathtub; sauna; French balcony or balcony,298,1,0,Booking.com,Online payment,No-show,0
CUST-00101,BOOK-00101,Sara Schmidt,Denmark,2025-09-26,2026-02-04,2026-02-06,2,Winter,Deluxe Sky Suite,DS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,700,3,2,Corporate,Debit card,Completed,1400
CUST-00102,BOOK-00102,Emma Bianchi,United States,2026-03-20,2026-04-02,2026-04-05,3,Winter,Standard Room,SR-35,Forest view,Balcony,French balcony or balcony,100,2,1,Travel agency,Online payment,No-show,0
CUST-00103,BOOK-00103,Ava Rantanen,United States,2025-09-18,2026-01-16,2026-01-19,3,Winter,Standard Room,SR-47,Slope view,Balcony,French balcony or balcony,100,3,0,Travel agency,Debit card,Cancelled,0
CUST-00104,BOOK-00104,Hugo Schmidt,Belgium,2025-04-21,2025-09-11,2025-09-17,6,Shoulder,Standard Room,SR-16,Slope view,French balcony,French balcony or balcony,100,3,0,Direct website,Online payment,Completed,600
CUST-00105,BOOK-00105,Noah Müller,Poland,2025-06-18,2025-07-13,2025-07-18,5,Summer,Standard Room,SR-46,Slope view,French balcony,French balcony or balcony,95,3,2,Direct website,Invoice,No-show,0
CUST-00106,BOOK-00106,Samuel Lehtonen,Finland,2025-04-06,2025-06-28,2025-07-01,3,Summer,Standard View Room,SV-36,Forest view,French balcony,French balcony or balcony,120,3,1,Booking.com,Debit card,Completed,360
CUST-00107,BOOK-00107,Hugo Johansson,Finland,2025-05-29,2025-06-20,2025-06-23,3,Summer,Superior Family Room,SF-03,Forest view,French balcony,French balcony or balcony,170,2,1,Corporate,Invoice,Completed,510
CUST-00108,BOOK-00108,Matti Andersen,United States,2025-07-09,2025-07-27,2025-08-02,6,Summer,Standard Room,SR-29,Forest view,French balcony,French balcony or balcony,95,3,0,Corporate,Credit card,Completed,570
CUST-00109,BOOK-00109,Isla Korhonen,Belgium,2026-02-16,2026-04-20,2026-04-24,4,Winter,Standard Room,SR-17,Forest view,Balcony,French balcony or balcony,100,2,1,Corporate,Online payment,Completed,400
CUST-00110,BOOK-00110,Elina Korhonen,Austria,2025-03-05,2025-07-05,2025-07-15,10,Summer,Standard View Room,SV-33,Forest view,French balcony,French balcony or balcony,120,3,3,Expedia,Credit card,No-show,0
CUST-00111,BOOK-00111,Laura Bianchi,Estonia,2025-10-25,2025-11-30,2025-12-06,6,Winter,Standard Room,SR-01,Slope view,French balcony,French balcony or balcony,100,2,0,Phone,Debit card,Completed,600
CUST-00112,BOOK-00112,Mila Nieminen,United States,2026-05-06,2026-05-17,2026-05-21,4,Shoulder,Superior Room,SU-15,Forest view,Balcony,French balcony or balcony,140,2,1,Direct website,Online payment,Completed,560
CUST-00113,BOOK-00113,Linnea Virtanen,France,2025-08-23,2025-11-06,2025-11-10,4,Winter,Deluxe Sky Suite,DS-03,Forest view,Balcony,Igloo; bathtub; sauna; French balcony or balcony,700,3,0,Phone,Online payment,Cancelled,0
CUST-00114,BOOK-00114,Theo Novak,Austria,2025-07-22,2025-10-18,2025-10-20,2,Shoulder,Standard View Room,SV-33,Forest view,French balcony,French balcony or balcony,120,2,0,Corporate,Online payment,Cancelled,0
CUST-00115,BOOK-00115,Oscar Salminen,Estonia,2025-06-15,2025-07-13,2025-07-18,5,Summer,Standard Room,SR-08,Forest view,French balcony,French balcony or balcony,95,2,0,Travel agency,Invoice,Completed,475
CUST-00116,BOOK-00116,Isla Saarinen,Sweden,2025-08-04,2025-08-25,2025-08-30,5,Summer,Standard View Room,SV-32,Forest view,Balcony,French balcony or balcony,120,2,1,Phone,Debit card,Completed,600
CUST-00117,BOOK-00117,Ella Laine,Norway,2025-04-15,2025-06-16,2025-06-18,2,Summer,Superior Room,SU-04,Forest view,Balcony,French balcony or balcony,140,2,2,Direct website,Debit card,Cancelled,0
CUST-00118,BOOK-00118,Felix Laine,Belgium,2026-01-31,2026-05-14,2026-05-18,4,Shoulder,Standard View Room,SV-10,Slope view,Balcony,French balcony or balcony,120,3,0,Direct website,Credit card,Completed,480
CUST-00119,BOOK-00119,Linnea Silva,Italy,2025-05-11,2025-09-04,2025-09-08,4,Shoulder,Standard View Room,SV-33,Forest view,French balcony,French balcony or balcony,120,4,0,Travel agency,Debit card,Completed,480
CUST-00120,BOOK-00120,Oliver Santos,Estonia,2025-02-11,2025-08-02,2025-08-04,2,Summer,Standard Room,SR-20,Forest view,Balcony,French balcony or balcony,95,3,0,Expedia,Online payment,Cancelled,0
CUST-00121,BOOK-00121,Samuel Smith,Netherlands,2025-07-18,2025-08-20,2025-08-25,5,Summer,Sky Suite,SS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,298,3,0,Travel agency,Credit card,Completed,1490
CUST-00122,BOOK-00122,Mila Wilson,Norway,2025-11-14,2025-12-02,2025-12-06,4,Winter,Standard View Room,SV-27,Forest view,Balcony,French balcony or balcony,120,2,1,Travel agency,Invoice,No-show,0
CUST-00123,BOOK-00123,Theo Johansson,Belgium,2025-11-23,2025-12-27,2026-01-02,6,Winter,Standard Room,SR-46,Slope view,French balcony,French balcony or balcony,100,3,0,Corporate,Credit card,Completed,600
CUST-00124,BOOK-00124,Nora Rantanen,Spain,2025-07-12,2025-08-03,2025-08-07,4,Summer,Standard Room,SR-09,Forest view,Balcony,French balcony or balcony,95,2,2,Expedia,Debit card,Completed,380
